角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
299: [ 2015-11-06 | 11 | 05392 ] 日向顺平 - 黑子的篮球 第三季
300: [ 2015-11-01 | 06 | 05382 ] 早乙女与一 - 终结的炽天使
301: [ 2015-11-06 | 12 | 05372 ] 材木座义辉 - 我的青春恋爱物语果然有问题 第二季
302: [ 2015-12-04 | 08 | 05326 ] 喵太 - 记录的地平线 第二季
303: [ 2015-11-13 | 11 | 05186 ] 千手扉间 - 火影忍者 疾风传
304: [ 2015-12-03 | 11 | 05166 ] 叶月渚 - Free! TV未放送
305: [ 2015-11-12 | 06 | 05163 ] 杉野友人 - 暗杀教室
306: [ 2015-11-16 | 06 | 05157 ] 钢铁侠 - 天雷争霸 复仇者联盟
307: [ 2015-11-28 | 10 | 05114 ] 明智 - 乱步奇谭 Game of Laplace
308: [ 2015-11-20 | 09 | 05035 ] 艾尔文·史密斯 - 进击的巨人剧场版
